rough_threshold,regular_threshold,validation_accuracy
0.5,0.5,0.8494117647058823
0.5,0.55,0.8494117647058823
0.5,0.6,0.851764705882353
0.5,0.65,0.851764705882353
0.5,0.7,0.851764705882353
0.5,0.75,0.851764705882353
0.5,0.8,0.851764705882353
0.5,0.85,0.851764705882353
0.5,0.9,0.851764705882353
0.5,0.95,0.851764705882353
0.55,0.5,0.851764705882353
0.55,0.55,0.851764705882353
0.55,0.6,0.8541176470588235
0.55,0.65,0.8541176470588235
0.55,0.7,0.8541176470588235
0.55,0.75,0.8541176470588235
0.55,0.8,0.8541176470588235
0.55,0.85,0.8541176470588235
0.55,0.9,0.8541176470588235
0.55,0.95,0.8541176470588235
0.6,0.5,0.8588235294117647
0.6,0.55,0.8588235294117647
0.6,0.6,0.8611764705882353
0.6,0.65,0.8611764705882353
0.6,0.7,0.8611764705882353
0.6,0.75,0.8611764705882353
0.6,0.8,0.8611764705882353
0.6,0.85,0.8611764705882353
0.6,0.9,0.8611764705882353
0.6,0.95,0.8611764705882353
0.65,0.5,0.8588235294117647
0.65,0.55,0.8588235294117647
0.65,0.6,0.8611764705882353
0.65,0.65,0.8611764705882353
0.65,0.7,0.8611764705882353
0.65,0.75,0.8611764705882353
0.65,0.8,0.8611764705882353
0.65,0.85,0.8611764705882353
0.65,0.9,0.8611764705882353
0.65,0.95,0.8611764705882353
0.7,0.5,0.8588235294117647
0.7,0.55,0.8588235294117647
0.7,0.6,0.8611764705882353
0.7,0.65,0.8611764705882353
0.7,0.7,0.8611764705882353
0.7,0.75,0.8611764705882353
0.7,0.8,0.8611764705882353
0.7,0.85,0.8611764705882353
0.7,0.9,0.8611764705882353
0.7,0.95,0.8611764705882353
0.75,0.5,0.8588235294117647
0.75,0.55,0.8588235294117647
0.75,0.6,0.8611764705882353
0.75,0.65,0.8611764705882353
0.75,0.7,0.8611764705882353
0.75,0.75,0.8611764705882353
0.75,0.8,0.8611764705882353
0.75,0.85,0.8611764705882353
0.75,0.9,0.8611764705882353
0.75,0.95,0.8611764705882353
0.8,0.5,0.8588235294117647
0.8,0.55,0.8588235294117647
0.8,0.6,0.8611764705882353
0.8,0.65,0.8611764705882353
0.8,0.7,0.8611764705882353
0.8,0.75,0.8611764705882353
0.8,0.8,0.8611764705882353
0.8,0.85,0.8611764705882353
0.8,0.9,0.8611764705882353
0.8,0.95,0.8611764705882353
0.85,0.5,0.8588235294117647
0.85,0.55,0.8588235294117647
0.85,0.6,0.8611764705882353
0.85,0.65,0.8611764705882353
0.85,0.7,0.8611764705882353
0.85,0.75,0.8611764705882353
0.85,0.8,0.8611764705882353
0.85,0.85,0.8611764705882353
0.85,0.9,0.8611764705882353
0.85,0.95,0.8611764705882353
0.9,0.5,0.8588235294117647
0.9,0.55,0.8588235294117647
0.9,0.6,0.8611764705882353
0.9,0.65,0.8611764705882353
0.9,0.7,0.8611764705882353
0.9,0.75,0.8611764705882353
0.9,0.8,0.8611764705882353
0.9,0.85,0.8611764705882353
0.9,0.9,0.8611764705882353
0.9,0.95,0.8611764705882353
0.95,0.5,0.8588235294117647
0.95,0.55,0.8588235294117647
0.95,0.6,0.8611764705882353
0.95,0.65,0.8611764705882353
0.95,0.7,0.8611764705882353
0.95,0.75,0.8611764705882353
0.95,0.8,0.8611764705882353
0.95,0.85,0.8611764705882353
0.95,0.9,0.8611764705882353
0.95,0.95,0.8611764705882353
