full_weight,window_weight,validation_accuracy
0.0,1.0,0.84
0.05,0.95,0.88
0.1,0.9,0.88
0.15000000000000002,0.85,0.88
0.2,0.8,0.88
0.25,0.75,0.88
0.30000000000000004,0.7,0.88
0.35000000000000003,0.6499999999999999,0.88
0.4,0.6,0.88
0.45,0.55,0.88
0.5,0.5,0.88
0.55,0.44999999999999996,0.88
0.6000000000000001,0.3999999999999999,0.88
0.65,0.35,0.88
0.7000000000000001,0.29999999999999993,0.88
0.75,0.25,0.88
0.8,0.19999999999999996,0.88
0.8500000000000001,0.1499999999999999,0.88
0.9,0.09999999999999998,0.88
0.9500000000000001,0.04999999999999993,0.88
1.0,0.0,0.88
